"","JLKMOVE","JHSPRBQ","JHSCANB","JHSCNTB","JHSCAND","JHSCNTD","JHSCANF","JLFSATO"
"8055",NA,2,"YES",NA,"YES",NA,1,NA
"8056",1,2,"YES",NA,"YES",NA,1,7
"8057",1,2,"YES",NA,"YES",NA,1,6
"8058",1,2,"YES",NA,"YES",NA,1,6
"8059",2,1,"YES",NA,"YES",NA,1,6
"8060",2,1,"YES",NA,"YES",NA,1,6
"8061",2,2,"YES",NA,"YES",NA,1,5
"8062",2,2,"YES",NA,"YES",NA,1,5
"8063",1,2,"YES",NA,"YES",NA,1,5
"8064",2,2,"YES",NA,"YES",NA,1,5
"8065",1,2,"YES",NA,"YES",NA,1,5
"8066",1,2,"YES",NA,"NO",2,1,5
"8067",1,2,"YES",NA,"YES",NA,1,5
"8068",1,2,"NO",1,"YES",NA,2,3
"8069",2,2,"YES",NA,"YES",NA,1,3
"8070",1,1,"YES",NA,"YES",NA,1,4
"8071",1,1,"YES",NA,"YES",NA,1,6
"8072",1,2,"YES",NA,"YES",NA,1,6
"8073",1,2,"YES",NA,"YES",NA,1,6
"8074",1,2,"NO",1,"YES",NA,1,3
"8075",1,2,"NO",1,"YES",NA,1,7
"8076",NA,NA,NA,NA,NA,NA,NA,NA
"8077",1,2,"YES",NA,"YES",NA,1,6
"8078",1,2,"YES",NA,"YES",NA,1,4
"8079",1,2,"NO",2,"YES",NA,2,7
"8080",1,2,"NO",2,"YES",NA,2,7
"8081",1,2,"YES",NA,"YES",NA,1,6
"8082",2,2,"YES",NA,"YES",NA,1,5
"8083",1,2,"YES",NA,"YES",NA,1,6
"8084",NA,2,"YES",NA,"YES",NA,1,6
"8085",NA,2,"YES",NA,"YES",NA,1,6
"8086",1,2,"YES",NA,"YES",NA,1,5
"8087",1,2,"YES",NA,"YES",NA,1,6
"8088",1,2,"NO",2,"NO",2,2,4
"8089",1,2,"NO",2,"NO",2,2,5
"8090",2,1,"YES",NA,"YES",NA,1,5
"8091",2,1,"YES",NA,"YES",NA,1,6
"8092",2,2,"YES",NA,"YES",NA,1,6
"8093",2,2,"YES",NA,"YES",NA,1,4
"8094",1,2,"YES",NA,"YES",NA,1,4
"8095",1,2,"YES",NA,"YES",NA,2,7
"8096",1,2,"YES",NA,"YES",NA,2,7
"8097",2,2,"NO",1,"YES",NA,1,4
"8098",2,2,"YES",NA,"YES",NA,1,6
"8099",1,2,"YES",NA,"YES",NA,1,6
"8100",2,1,NA,NA,"YES",NA,2,5
"8101",1,1,NA,NA,"YES",NA,2,5
"8102",2,2,"YES",NA,"YES",NA,1,4
"8103",2,2,"YES",NA,"YES",NA,1,6
"8104",1,2,"YES",NA,"YES",NA,1,5
"8105",1,2,"YES",NA,"YES",NA,1,4
"8106",1,2,"NO",1,"YES",NA,1,6
"8107",1,2,"NO",1,"YES",NA,1,6
"8108",1,2,"YES",NA,"YES",NA,1,5
"8109",1,2,"YES",NA,"YES",NA,1,7
"8110",1,1,"NO",1,"YES",NA,1,6
"8111",2,1,"NO",1,"YES",NA,1,6
"8112",2,1,"NO",1,"YES",NA,1,6
"8113",1,1,"NO",1,"YES",NA,1,4
"8114",1,2,"YES",NA,"YES",NA,1,6
"8115",1,2,"YES",NA,"YES",NA,1,3
"8116",1,2,"YES",NA,"YES",NA,1,4
"8117",2,2,"YES",NA,"YES",NA,1,5
"8118",1,2,"YES",NA,"YES",NA,1,6
"8119",1,2,"YES",NA,"YES",NA,1,6
"8120",2,2,"YES",NA,"YES",NA,2,2
"8121",2,2,"NO",1,"YES",NA,1,6
"8122",2,2,"NO",1,"YES",NA,1,6
"8123",1,2,"YES",NA,"YES",NA,1,6
"8124",2,2,"YES",NA,"YES",NA,1,2
"8125",2,2,"YES",NA,"YES",NA,1,2
"8126",2,2,"YES",NA,"YES",NA,1,6
"8127",1,2,"YES",NA,"YES",NA,1,6
"8128",2,2,"NO",1,"YES",NA,1,6
"8129",2,2,"YES",NA,"YES",NA,1,4
"8130",2,2,"NO",1,"NO",2,2,6
"8131",1,2,"YES",NA,"YES",NA,1,5
"8132",1,2,"YES",NA,"YES",NA,1,6
"8133",1,2,"YES",NA,"YES",NA,1,6
"8134",2,2,"YES",NA,"YES",NA,NA,5
"8135",1,1,"YES",NA,"YES",NA,1,7
"8136",1,2,"YES",NA,"YES",NA,1,3
"8137",1,2,"YES",NA,"YES",NA,1,4
"8138",2,1,"NO",1,"YES",NA,2,5
"8139",1,2,"YES",NA,"YES",NA,1,7
"8140",1,2,"YES",NA,"YES",NA,1,5
"8141",1,1,"YES",NA,"YES",NA,1,6
"8142",1,1,"NO",1,"YES",NA,2,5
"8143",1,1,"NO",1,"YES",NA,2,6
"8144",1,2,"YES",NA,"YES",NA,1,6
"8145",1,2,"YES",NA,"YES",NA,1,6
"8146",1,2,"YES",NA,"YES",NA,1,5
"8147",1,2,"YES",NA,"YES",NA,1,6
"8148",1,2,"YES",NA,"YES",NA,1,5
"8149",1,2,"YES",NA,"YES",NA,1,5
"8150",1,2,"NO",2,"YES",NA,1,5
"8151",2,1,"YES",NA,"YES",NA,1,5
"8152",2,2,"YES",NA,"YES",NA,1,6
"8153",2,2,"YES",NA,"YES",NA,1,6
"8154",1,2,"NO",1,"NO",2,1,3
"8155",1,2,"YES",NA,"YES",NA,1,2
"8156",1,2,"YES",NA,"YES",NA,1,2
"8157",1,2,"YES",NA,"YES",NA,1,4
"8158",1,2,"NO",2,"NO",2,2,1
"8159",2,1,"YES",NA,"YES",NA,2,2
"8160",2,2,"YES",NA,"NO",1,2,4
"8161",2,2,"YES",NA,"NO",1,2,5
"8162",2,2,"YES",NA,"YES",NA,1,6
"8163",NA,2,"YES",NA,"YES",NA,1,NA
"8164",1,2,"YES",NA,"YES",NA,1,7
"8165",1,2,"YES",NA,"YES",NA,1,7
"8166",1,2,"NO",1,"NO",1,1,5
"8167",1,2,"NO",2,"YES",NA,1,7
"8168",1,2,"NO",1,"YES",NA,1,5
"8169",1,2,"NO",1,"YES",NA,1,5
"8170",1,2,"NO",1,"YES",NA,1,5
"8171",1,2,"NO",1,"YES",NA,1,6
"8172",1,2,"NO",1,"YES",NA,1,3
"8173",2,2,"NO",1,"NO",1,2,6
"8174",2,2,"NO",1,"NO",1,2,6
"8175",1,2,"NO",2,"YES",NA,1,7
"8176",1,2,"NO",2,"YES",NA,1,7
"8177",1,2,"YES",NA,"NO",2,1,5
"8178",1,2,"YES",NA,"YES",NA,1,5
"8179",1,2,"YES",NA,"YES",NA,1,3
"8180",1,2,"YES",NA,"YES",NA,1,6
"8181",NA,2,"YES",NA,"YES",NA,1,NA
"8182",1,2,"NO",1,"NO",1,1,5
"8183",1,2,"NO",1,"NO",1,1,6
"8184",1,2,"YES",NA,"YES",NA,1,5
"8185",1,NA,"YES",NA,"YES",NA,1,5
"8186",2,2,"YES",NA,"YES",NA,1,6
"8187",NA,2,"YES",NA,"YES",NA,1,NA
"8188",1,2,"YES",NA,"YES",NA,1,6
"8189",1,2,"YES",NA,"YES",NA,1,5
"8190",1,2,"YES",NA,"YES",NA,1,7
"8191",1,2,"YES",NA,"YES",NA,1,2
"8192",1,2,"YES",NA,"YES",NA,1,3
"8193",1,2,"YES",NA,"YES",NA,1,7
"8194",1,2,"NO",1,"YES",NA,1,6
"8195",1,2,"NO",1,"YES",NA,1,4
"8196",2,2,"NO",1,"YES",NA,1,1
"8197",2,2,"NO",1,"YES",NA,1,6
"8198",1,2,"NO",1,"YES",NA,2,5
"8199",2,2,"NO",1,"YES",NA,2,6
"8200",2,2,"NO",1,"YES",NA,2,5
"8201",2,2,"YES",NA,"YES",NA,1,5
"8202",NA,2,"YES",NA,"YES",NA,1,NA
"8203",1,2,"YES",NA,"YES",NA,1,6
"8204",1,2,"NO",1,"YES",NA,1,5
"8205",1,2,"YES",NA,"YES",NA,1,5
"8206",2,2,"YES",NA,"YES",NA,1,5
"8207",1,2,"NO",1,"YES",NA,1,5
"8208",1,2,"NO",1,"YES",NA,1,5
